PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,ZngCdPr,ClassPr_S,ClassSc_S,LndAc_S,OthAc_S,GLA,BsmtLivArea,GrLivAreaBucks
909176150,856,126000,30,RL,63.82142857142857,7890,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,SWISU,Norm,Norm,1Fam,1Story,6,6,1939,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,0,2,238.0,0,0.0,618.0,856.0,GasA,3,Y,SBrkr,856,0,0,1.0,0.0,1,0,2,1,3,4,Typ,1,4,Detchd,1939.0,1.0,2.0,399.0,3.0,3.0,Y,0,0,0,0,166,0,0,None,None,0,3,2010,WD ,Normal,RL,RESIDENTIAL,1-STORY 1945 & OLDER,37300.0,111700.0,856.0,238.0,1
905476230,1049,139500,120,RL,42.0,4235,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,1Story,5,5,1984,1984,Gable,CompShg,HdBoard,HdBoard,BrkFace,149.0,4,3,CBlock,4,3,1,5,552.0,4,393.0,104.0,1049.0,GasA,3,Y,SBrkr,1049,0,0,1.0,0.0,2,0,2,1,4,5,Typ,0,0,Attchd,1984.0,3.0,1.0,266.0,3.0,3.0,Y,0,105,0,0,0,0,0,None,None,0,2,2009,WD ,Normal,RL,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,43500.0,130600.0,1049.0,945.0,5
911128020,1001,124900,30,C (all),60.0,6060,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,5,9,1930,2007,Hip,CompShg,MetalSd,MetalSd,None,0.0,4,3,BrkTil,3,3,0,4,737.0,0,0.0,100.0,837.0,GasA,5,Y,SBrkr,1001,0,0,0.0,0.0,1,0,2,1,4,5,Typ,0,0,Detchd,1930.0,1.0,1.0,216.0,3.0,1.0,N,154,0,42,86,0,0,0,None,None,0,11,2007,WD ,Normal,S-SMD,RESIDENTIAL,1-STORY 1945 & OLDER,41100.0,123200.0,1001.0,737.0,4
535377150,1039,114000,70,RL,80.0,8146,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,4,8,1900,2003,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,4,BrkTil,2,3,0,0,0.0,0,0.0,405.0,405.0,GasA,4,Y,SBrkr,717,322,0,0.0,0.0,1,0,2,1,3,6,Typ,0,0,Detchd,1940.0,1.0,1.0,281.0,3.0,3.0,N,0,0,168,0,111,0,0,None,None,0,5,2009,WD ,Normal,RL,RESIDENTIAL,2-STORY 1945 & OLDER,31100.0,93300.0,1039.0,0.0,5
534177230,1665,227000,60,RL,70.0,8400,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,8,6,2001,2001,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,0,5,643.0,0,0.0,167.0,810.0,GasA,5,Y,SBrkr,810,855,0,1.0,0.0,2,1,3,1,4,6,Typ,0,0,Attchd,2001.0,3.0,2.0,528.0,3.0,3.0,Y,0,45,0,0,0,0,0,None,None,0,11,2009,WD ,Normal,RL,RESIDENTIAL,2-STORY 1946 & NEWER,64300.0,192800.0,1665.0,643.0,20
908128060,1922,198500,85,RL,64.0,7301,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,SFoyer,7,5,2003,2003,Gable,CompShg,HdBoard,HdBoard,BrkFace,500.0,4,3,Slab,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,5,Y,SBrkr,495,1427,0,0.0,0.0,3,0,4,1,4,7,Typ,1,5,BuiltIn,2003.0,2.0,2.0,672.0,3.0,3.0,Y,0,0,177,0,0,0,0,None,None,0,7,2009,ConLD,Normal,FS-RL,RESIDENTIAL,SPLIT FOYER,53700.0,161100.0,1922.0,0.0,25
902135020,936,93000,20,RM,60.0,6000,Pave,Pave,Reg,Bnk,AllPub,Inside,Mod,OldTown,Norm,Norm,2fmCon,1Story,4,4,1953,1953,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,3,CBlock,2,3,0,0,0.0,0,0.0,936.0,936.0,GasA,3,N,SBrkr,936,0,0,0.0,0.0,1,0,2,1,3,4,Min2,0,0,Detchd,1974.0,1.0,2.0,576.0,3.0,3.0,Y,0,32,112,0,0,0,0,None,None,0,2,2009,WD ,Normal,RM,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,34800.0,104500.0,936.0,0.0,3
528228540,1246,187687,20,RL,53.0,3710,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,1Fam,1Story,7,5,2007,2008,Gable,CompShg,WdShing,Wd Shng,BrkFace,20.0,4,3,PConc,4,3,3,0,0.0,0,0.0,1146.0,1146.0,GasA,5,Y,SBrkr,1246,0,0,0.0,0.0,2,0,2,1,4,5,Typ,1,4,Attchd,2007.0,3.0,2.0,428.0,3.0,3.0,Y,100,24,0,0,0,0,0,None,None,0,3,2008,New,Partial,RL,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,56400.0,169100.0,1246.0,0.0,10
923426010,889,137500,20,RL,74.0,12395,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,6,1984,1984,Gable,CompShg,HdBoard,Plywood,None,0.0,3,3,CBlock,3,3,0,4,647.0,0,0.0,217.0,864.0,GasA,3,Y,SBrkr,889,0,0,0.0,0.0,1,0,3,1,3,6,Typ,0,0,Attchd,1984.0,1.0,2.0,484.0,3.0,3.0,Y,0,0,0,0,0,0,0,None,None,0,4,2008,WD ,Normal,RL,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,41200.0,123600.0,889.0,647.0,2
908186050,1072,140000,180,RM,35.0,3675,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Stone,76.0,3,3,PConc,4,3,3,5,467.0,0,0.0,80.0,547.0,GasA,5,Y,SBrkr,1072,0,0,1.0,0.0,1,0,2,1,4,5,Typ,0,0,Basment,2005.0,3.0,2.0,525.0,3.0,3.0,Y,0,44,0,0,0,0,0,None,None,0,5,2007,WD ,Normal,FS-RM,RESIDENTIAL,MULTILEVEL TWNHM  - INCL SPLIT LEV/FOYER,43700.0,131200.0,1072.0,467.0,6
528186170,1342,219500,120,RL,48.0,6240,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2007,Hip,CompShg,MetalSd,MetalSd,BrkFace,196.0,4,3,PConc,4,3,0,5,24.0,0,0.0,1318.0,1342.0,GasA,5,Y,SBrkr,1342,0,0,0.0,0.0,2,0,2,1,4,6,Typ,1,4,Attchd,2007.0,2.0,2.0,550.0,3.0,3.0,Y,0,35,0,0,0,0,0,None,None,0,2,2008,WD ,Normal,FS-RL,RESIDENTIAL,1-STORY TWNHM - 1946 & NEWER,68800.0,206200.0,1342.0,24.0,12
923426070,1274,136000,60,RL,63.0,10475,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,2Story,5,5,1991,1991,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,PConc,4,3,0,2,458.0,0,0.0,166.0,624.0,GasA,4,Y,SBrkr,624,650,0,0.0,0.0,1,1,3,1,3,6,Typ,0,0,Detchd,1993.0,1.0,2.0,576.0,3.0,3.0,Y,22,0,0,0,0,0,0,GdWo,None,0,3,2010,WD ,Normal,RL,RESIDENTIAL,2-STORY 1946 & NEWER,46300.0,139100.0,1274.0,458.0,10
902204080,861,80000,30,RM,62.0,7404,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,6,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,2,3,0,0,0.0,0,0.0,861.0,861.0,GasA,3,Y,SBrkr,861,0,0,0.0,0.0,1,0,2,1,3,5,Typ,0,0,Detchd,1920.0,1.0,2.0,288.0,3.0,3.0,N,0,0,128,0,0,0,0,None,None,0,11,2009,Oth,Normal,UCRM,RESIDENTIAL,SPLIT OR MULTI-LEVEL,48700.0,146200.0,1966.0,0.0,1
535105100,1394,159000,20,RL,74.29411764705883,9500,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1963,1963,Gable,CompShg,Plywood,Plywood,BrkFace,247.0,3,3,CBlock,4,3,0,3,609.0,0,0.0,785.0,1394.0,GasA,4,Y,SBrkr,1394,0,0,1.0,0.0,1,1,3,1,3,6,Typ,2,4,Attchd,1963.0,2.0,2.0,514.0,3.0,3.0,Y,0,76,0,0,185,0,0,None,None,0,7,2009,WD ,Normal,RL,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,50000.0,150100.0,1394.0,609.0,13
907405020,1536,214000,20,RL,70.0,9135,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,113.0,4,3,PConc,4,3,2,5,810.0,0,0.0,726.0,1536.0,GasA,5,Y,SBrkr,1536,0,0,1.0,0.0,2,0,3,1,4,7,Typ,0,0,Attchd,2002.0,2.0,2.0,532.0,3.0,3.0,Y,192,74,0,0,0,0,0,None,None,0,12,2008,WD ,Normal,RL,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,67000.0,200800.0,1536.0,810.0,17
